title,partner,primary_description,secondary_description,tertiary_description,availability,subject,level,language,product,program_type,staff,translation_language,transcription_language,recent_enrollment_count,marketing_url,weeks_to_complete,skill,text
database advanced topic sql,stanford university,course one five selfpaced course topic database originating one stanford three inaugural massive open online course released fall 2011 original database course available edxorg course broad practical covering index transaction constraint trigger view authorization context relational database system sql language course build concept introduced database relational database sql recommended learner seeking advance understanding use relational database index transaction section course cover two important feature database system applicationbuilders perspective indexing increased performance transaction concurrency control failure recovery constraint trigger section course explains key referential integrity check constraint followed comprehensive coverage database trigger view authorization section course provides extensive coverage database view created used updated introduces standard technique authorization relational database,stanford online offering database available set five selfpaced course database relational database sql introduction relational model concept relational database relational database management system comprehensive coverage sql longaccepted standard query language relational database management system database advanced topic sql prerequisite relational database sql creating index increased query performance using transaction concurrency control failure recovery database constraint key referential integrity check constraint database trigger view created used updated relational database authorization relational database database olap recursion star schema data cube concept online analytical processing olap feature relational database including cube rollup operator sql standard query recursivelydefined relation database modeling theory relational algebra algebraic query language provides formal foundation sql dependency theory normal form relational database basis schema design datamodeling component unified modeling language uml uml diagram translated relation database semistructured data xml model semistructured selfdescribing data including dtds feature xml schema json model humanreadable structured semistructured data xpath language processing xml data many feature advanced xquery language introduction xslt rulebased language querying transforming xml data,database series course database one stanford three inaugural massive open online course fall 2011 offered synchronous selfpaced version variety platform continuously since 2011 material offered set five selfpaced course taken variety way learn different aspect database relational database sql popular course database series applicable learner seeking gain strong understanding relational database master sql longaccepted standard query language relational database system additional course focus advanced concept relational database sql formal foundation database design methodology semistructured data course based around video lecture demo many include quiz video segment check understanding indepth standalone quiz andor variety automaticallychecked interactive exercise course also includes unmoderated discussion forum pointer reading resource course described briefly taught professor jennifer widom overall curriculum draw stanford popular longstanding database course learn database database incredibly prevalent underlie technology used people every day every hour database reside behind huge number website theyre crucial component telecommunication system banking system video game software system electronic device maintains amount persistent information addition persistence database system provide number property make exceptionally useful convenient reliability efficiency scalability concurrency control data abstraction highlevel query language database ubiquitous important computer science graduate frequently cite database class one useful industry graduateschool career,available now,computer science,introductory,english,Course,xseries,jennifer-widom,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)","spanish, portuguese - brazil, indonesian, arabic",6713,https://www.edx.org/learn/sql/stanford-university-databases-advanced-topics-in-sql,2.0,relational database data abstraction query language concurrency control sql programming language database system database design scalability persistence telecommunication reliability referential integrity computer science authorization computing,database advanced topic sql database series course database one stanford three inaugural massive open online course fall 2011 offered synchronous selfpaced version variety platform continuously since 2011 material offered set five selfpaced course taken variety way learn different aspect database relational database sql popular course database series applicable learner seeking gain strong understanding relational database master sql longaccepted standard query language relational database system additional course focus advanced concept relational database sql formal foundation database design methodology semistructured data course based around video lecture demo many include quiz video segment check understanding indepth standalone quiz andor variety automaticallychecked interactive exercise course also includes unmoderated discussion forum pointer reading resource course described briefly taught professor jennifer widom overall curriculum draw stanford popular longstanding database course learn database database incredibly prevalent underlie technology used people every day every hour database reside behind huge number website theyre crucial component telecommunication system banking system video game software system electronic device maintains amount persistent information addition persistence database system provide number property make exceptionally useful convenient reliability efficiency scalability concurrency control data abstraction highlevel query language database ubiquitous important computer science graduate frequently cite database class one useful industry graduateschool career computer science relational database data abstraction query language concurrency control sql programming language database system database design scalability persistence telecommunication reliability referential integrity computer science authorization computing
applied scrum agile project management,"the university of maryland, college park",learn project management process role mechanic philosophy behind scrum simplest pure approach managing work team level,agile taking history case study proof agile work better us agile based industry scale stakeholder engineering run successful scrum team speed innovation leadership control scrum team makeup user story writing sprint planning execution retro tool scrum look like scale alternative avoid pitfall time,scrum agile often considered synonymous good reason scrum embodies simplest pure approach managing project work team level scrum employed half agile practitioner across industry agile may started software development many industry use agile methodology deliver work basis agile agile manifesto extends well beyond origin extreme programming agile software development development team around world using kanban board assigning strong product owner direct selforganizing team deliver prioritized product backlog nearly every new product sort component go agile development lifecycle today nearly 100 organization use agile many industry quickly following likelihood scrum scrumlike project quickly approaching 5050 better time mastering agile professional certificate program emphasizes principle heart agile framework course start learning key project management process role mechanic philosophy behind scrum provide basis understanding agile purest form four week exploring finally scrum look like applied real world understanding agile team member like scrum master product owner important difference lean agile process course make agile certified practitioner pmiacp certified scrum master csm offer fundamental agile certification based agile principle scaled agile applied industry today youll finish course ready begin agile journey hope take next course series sprint planning faster agile team delivery upon successful completion course learner earn 10 professional development unit pdu credit recognized project management institute pmi pdu credit essential looking maintain certification project management professional pmp,available now,"engineering, business & management, philosophy & ethics",advanced,english,Course,professional certificate,john-johnson,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)","arabic, indonesian, spanish, portuguese - brazil, swahili, turkish, portuguese, german, hindi, telugu, french",6550,https://www.edx.org/learn/scrum/the-university-of-maryland-college-park-applied-scrum-for-agile-project-management,4.0,scrum software development project management professional certification agile methodology pmi agile certified practitioner agile software development backlog certified scrum master project management institute pmi methodology extreme programming sprint planning project management software development lean manufacturing kanban principle new product development mechanic auditing agile project management,applied scrum agile project management scrum agile often considered synonymous good reason scrum embodies simplest pure approach managing project work team level scrum employed half agile practitioner across industry agile may started software development many industry use agile methodology deliver work basis agile agile manifesto extends well beyond origin extreme programming agile software development development team around world using kanban board assigning strong product owner direct selforganizing team deliver prioritized product backlog nearly every new product sort component go agile development lifecycle today nearly 100 organization use agile many industry quickly following likelihood scrum scrumlike project quickly approaching 5050 better time mastering agile professional certificate program emphasizes principle heart agile framework course start learning key project management process role mechanic philosophy behind scrum provide basis understanding agile purest form four week exploring finally scrum look like applied real world understanding agile team member like scrum master product owner important difference lean agile process course make agile certified practitioner pmiacp certified scrum master csm offer fundamental agile certification based agile principle scaled agile applied industry today youll finish course ready begin agile journey hope take next course series sprint planning faster agile team delivery upon successful completion course learner earn 10 professional development unit pdu credit recognized project management institute pmi pdu credit essential looking maintain certification project management professional pmp engineeringbusiness & managementphilosophy & ethics scrum software development project management professional certification agile methodology pmi agile certified practitioner agile software development backlog certified scrum master project management institute pmi methodology extreme programming sprint planning project management software development lean manufacturing kanban principle new product development mechanic auditing agile project management
bioethics law medicine ethic reproductive technology genetics,harvard university,introduction study bioethics application legal ethical reasoning,reproductive technology industry work issue raised related buying selling human reproductive material law ethic surrogacy civil lawsuit thing go wrong reproductive technology wrongful birth wrongful life lawsuit law ethic sperm donation legal status sperm donor ethical legal issue raised human enhancement law ethic mixing human animal genetic material ownership human tissue underlying genetic information,bioethics provides overview legal medical ethical question around reproduction human genetics apply legal reasoning question law course includes interview individual used surrogacy sperm donation medical professional expert current reproductive technology like vitro fertilization preimplantation genetic diagnosis bioethicists journalist study ownership use genetic information within human tissue additional harvard colleague also share thought topic disability law relates reproductive technology law ethic surrounding technology central component course also show example deeply personal human side issue throughout course help law student discus leading legal case field illuminate type question law struggled stretching evolving time famous baby surrogacy case case paternity sperm donor case related ownership human tissue turned commercial product others show ethical legal rhetorical underpinnings served basis various court decision past 20 30 year also explore potential future technology implication society genetic enhancement increase intelligence let u live hundred year longer make u immune disease possibility creating animalhuman hybrid example mouse humanized brain content within course intended instructive show legal reasoning applied could applied question related parenthood reproduction issue surrounding human genetic material material organized within course considered authoritative overview intended serve medical legal advice,available now,"medicine, philosophy & ethics, law",introductory,english,Course,,i-glenn-cohen,"arabic, english, spanish (latin america), indonesian, portuguese (brazil), german (germany), greek, french, italian (italy), korean, russian, thai, turkish (turkey), chinese (simplified)","french, german, swahili, portuguese, portuguese - brazil, thai, greek, chinese - china, russian, indonesian, korean, turkish, arabic, spanish, telugu, hindi",6467,https://www.edx.org/learn/ethics/harvard-university-bioethics-the-law-medicine-and-ethics-of-reproductive-technologies-and-genetics,10.0,vitro fertilisation genetics bioethics,bioethics law medicine ethic reproductive technology genetics bioethics provides overview legal medical ethical question around reproduction human genetics apply legal reasoning question law course includes interview individual used surrogacy sperm donation medical professional expert current reproductive technology like vitro fertilization preimplantation genetic diagnosis bioethicists journalist study ownership use genetic information within human tissue additional harvard colleague also share thought topic disability law relates reproductive technology law ethic surrounding technology central component course also show example deeply personal human side issue throughout course help law student discus leading legal case field illuminate type question law struggled stretching evolving time famous baby surrogacy case case paternity sperm donor case related ownership human tissue turned commercial product others show ethical legal rhetorical underpinnings served basis various court decision past 20 30 year also explore potential future technology implication society genetic enhancement increase intelligence let u live hundred year longer make u immune disease possibility creating animalhuman hybrid example mouse humanized brain content within course intended instructive show legal reasoning applied could applied question related parenthood reproduction issue surrounding human genetic material material organized within course considered authoritative overview intended serve medical legal advice medicinephilosophy & ethicslaw vitro fertilisation genetics bioethics
buddhism scripture,harvard university,learn rich diverse belief practice buddhist across time place experience buddhism scripture relationally well academically,religiousphilosophical insight conveyed buddhist text scripture interpreted diverse end different historical context sensitive appreciation world religion,whether new study buddhism studying practicing year course provide opportunity become acquainted variety buddhist teaching guiding think new way combination carefully selected reading scriptural informational well exposure various form buddhist practice art devotional act literary work learn interpret reflect upon apply teaching buddha life deepen understanding buddhism,available now,"humanities, history",introductory,english,Course,xseries,,"arabic, english, spanish (latin america), indonesian, portuguese (brazil), german (germany), greek, french, italian (italy), korean, russian, thai, turkish (turkey), chinese (simplified)","arabic, portuguese - brazil, german, russian, greek, korean, thai, french, chinese - china, turkish, spanish, indonesian",6462,https://www.edx.org/learn/buddhism/harvard-university-buddhism-through-its-scriptures,4.0,,nan
improving global health focusing quality safety,harvard university,introduction emerging field global healthcare quality,relationship quality population health framework understanding thinking healthcare quality approach quality measurement role information communication technology assessing improving quality tool contextual knowledge improve quality delivered health system,improving access healthcare useful quality care provided many agree quality important define measure importantly might make better course designed care health healthcare wish learn measure improve care institution country session interactive provide concrete tool student use empower raise question propose concrete solution promote change assembled leading thinker around globe people expert people real handson experience running organization hospital ministry health join u whether physician nurse healthcare provider student medicine public health health policy patient simply care getting good care course,available now,"social sciences, medicine, health & safety",intermediate,english,Course,,ashish-jha,"arabic, english, spanish (latin america), indonesian, portuguese (brazil), german (germany), greek, french, italian (italy), korean, russian, thai, turkish (turkey), chinese (simplified)","swahili, turkish, hindi, arabic, german, portuguese, indonesian, french, telugu, spanish",6450,https://www.edx.org/learn/healthcare/harvard-university-improving-global-health-focusing-on-quality-and-safety,10.0,public health,improving global health focusing quality safety improving access healthcare useful quality care provided many agree quality important define measure importantly might make better course designed care health healthcare wish learn measure improve care institution country session interactive provide concrete tool student use empower raise question propose concrete solution promote change assembled leading thinker around globe people expert people real handson experience running organization hospital ministry health join u whether physician nurse healthcare provider student medicine public health health policy patient simply care getting good care course social sciencesmedicinehealth & safety public health
masterpiece world literature,harvard university,embark global journey explore past present future world literature,history world literature literary work book transformed cultural transmission critically analyze literary work significance major technological advance writing,literature course explores great writer refract world work transformed intervene global cultural landscape today national literature ever grown isolation culture around earliest period great work literature probed tension conflict connection among neighboring culture often distant region well focusing particularly work literature take experience wider world theme course explore varied artistic mode great writer situated world helping u understand deep root today intertwined global culture harvardx requires individual enroll course edx abide term theedx honor code harvardx take appropriate corrective action response violation edx honor code may include dismissal harvardx course revocation certificate received harvardx course remedy circumstance warrant refund issued case corrective action violation enrollee taking harvardx course part another program also governed academic policy program harvardx pursues science learning registering online learner hx course also participate research learning read ourresearch statement learn harvard university harvardx committed maintaining safe healthy educational work environment member community excluded participation denied benefit subjected discrimination harassment program member harvardx community expected abide harvard policy nondiscrimination including sexual harassment edx term service question concern please contactharvardxharvardedu andor report experience edx contact form,available now,"literature, history",introductory,english,Course,,"martin-puchner, david-damrosch","arabic, english, spanish (latin america), indonesian, portuguese (brazil), german (germany), greek, french, italian (italy), korean, russian, thai, turkish (turkey), chinese (simplified)","french, german, swahili, portuguese, portuguese - brazil, thai, greek, chinese - china, russian, indonesian, korean, turkish, arabic, spanish, telugu, hindi",6440,https://www.edx.org/learn/literature/harvard-university-masterpieces-of-world-literature,12.0,,nan
excel everyone core foundation,university of british columbia,learn excel fundamental including data wrangling spreadsheet management basic data analysis,excel fundamental data entry editing using various format performing calculation using formula function format optimize spreadsheet manage spreadsheet using filter sort table data capability previewing printing effective data visualization using basic chart,introductory excel course equip strong foundational knowledge excel organize analyze work data develop essential excel skill simple data wrangling managing spreadsheet along foundational understanding business data analysis course designed little functional knowledge excel well regularly use excel basic level wish enhance skill basic operation introduction advanced technique within six week youll gain confidence navigate excel interface master essential spreadsheet function perform calculation produce creative chart graph data building aptitude data analysis critical success organization,available now,"data analysis & statistics, business & management",introductory,english,Course,professional certificate,ricardo-rosado-trujeque,,,6439,https://www.edx.org/learn/excel/university-of-british-columbia-excel-for-everyone-core-foundations,6.0,spreadsheet data analysis operation data wrangling management,excel everyone core foundation introductory excel course equip strong foundational knowledge excel organize analyze work data develop essential excel skill simple data wrangling managing spreadsheet along foundational understanding business data analysis course designed little functional knowledge excel well regularly use excel basic level wish enhance skill basic operation introduction advanced technique within six week youll gain confidence navigate excel interface master essential spreadsheet function perform calculation produce creative chart graph data building aptitude data analysis critical success organization data analysis & statisticsbusiness & management spreadsheet data analysis operation data wrangling management
beginner guide cybersecurity,ibm,course designed beginner build critical skill address common security threat adopt best practice reducing risk,recognize importance data security maintaining data integrity confidentiality demonstrate installation software update patch identify preferred practice authentication encryption device security discus type security threat breach malware social engineering attack vector,tech talent shortage continues organization adopt higher security standard address ongoing risk threat breach course build key skill address common security threat risk provides best practice guard course designed everyone especially interested cyber analyst entrylevel cloud amp security engineer role well tech support diving world cybersecurity youll gain critical skill employer need including identifying security threat understanding encryption us demonstrating safe browsing technique implementing email security best practice identifying becoming familiar various type cybersecurity risk threat course ideal technical support role often front line defense cybersecurity issue,available now,computer science,introductory,english,Course,"professional certificate, professional certificate",skills-network,"arabic, english, spanish (latin america), indonesian, portuguese (brazil), russian","arabic, spanish, russian, indonesian, portuguese - brazil",6365,https://www.edx.org/learn/cybersecurity/ibm-beginners-guide-to-cybersecurity,4.0,encryption cyber security technical support,beginner guide cybersecurity tech talent shortage continues organization adopt higher security standard address ongoing risk threat breach course build key skill address common security threat risk provides best practice guard course designed everyone especially interested cyber analyst entrylevel cloud amp security engineer role well tech support diving world cybersecurity youll gain critical skill employer need including identifying security threat understanding encryption us demonstrating safe browsing technique implementing email security best practice identifying becoming familiar various type cybersecurity risk threat course ideal technical support role often front line defense cybersecurity issue computer science encryption cyber security technical support
ai application prompt engineering,edx,learn create ai application prompt engineering introductory online course go beyond ai basic learn technical practical skill harness power emerging technology experience javascript nodejs apis recommended,define ai application prompt engineering machine learning leverage tool knowledge initiative structure question request way guide ai application give best possible answer leverage langchain chatgpt create application,looking expand ai application knowledge create application enroll intro ai application prompt engineering course see make ai work end course able articulate key benefit limitation generative ai understand use ai application prompt engineering drive result create aipowered api application enroll course utilize chatgpts api required part course student must credit card access openais chatgpt api credit card charged whatever usage amount incur openai access chatgpt api dollar charge separate addition fee paid enroll verified course track,available now,computer science,introductory,english,Course,,edx-boot-camps-5,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)",,6316,https://www.edx.org/learn/computer-programming/edx-ai-applications-and-prompt-engineering,1.0,application programming interface api emerging technology application artificial intelligence artificial intelligence nodejs javascript programming language,ai application prompt engineering looking expand ai application knowledge create application enroll intro ai application prompt engineering course see make ai work end course able articulate key benefit limitation generative ai understand use ai application prompt engineering drive result create aipowered api application enroll course utilize chatgpts api required part course student must credit card access openais chatgpt api credit card charged whatever usage amount incur openai access chatgpt api dollar charge separate addition fee paid enroll verified course track computer science application programming interface api emerging technology application artificial intelligence artificial intelligence nodejs javascript programming language
statistical learning python,stanford university,learn main tool used statistical modeling data science cover traditional well exciting new method use python,overview statistical learning linear regression classificaiton resampling method linear model selection regularization moving beyond linearity treebased method support vector machine deep learning survival modeling unsupervised learning multiple testing,introductorylevel course supervised learning focus regression classification method syllabus includes linear polynomial regression logistic regression linear discriminant analysis crossvalidation bootstrap model selection regularization method ridge lasso nonlinear model spline generalized additive model treebased method random forest boosting supportvector machine neural network deep learning survival model multiple testing unsupervised learning method discussed principal component clustering kmeans hierarchical mathheavy class try describe method without heavy reliance formula complex mathematics focus consider important element modern data science computing course done python lecture devoted python giving tutorial ground progressing detailed session implement technique chatper also offer separate original version course called statistical learning r chapter lecture lab lecture computing done using r lecture cover material introduction statistical learning application python james witten hastie tibshirani taylor springer 2023 pdf book available free book website,available now,data analysis & statistics,introductory,english,Course,,"robert-tibshirani, jonathan-taylor, trevor-hastie","arabic, english, spanish (latin america), indonesian, portuguese (brazil), korean","portuguese - brazil, arabic, korean, indonesian, spanish",6227,https://www.edx.org/learn/python/stanford-university-statistical-learning-with-python,11.0,polynomial regression linear discriminant analysis bootstrap frontend framework data science statistical modeling random forest algorithm statistical learning theory python programming language unsupervised learning logistic regression lasso programming language deep learning kmeans clustering supervised learning support vector machine artificial neural network principal component analysis lecturing statistic boosting basic math,statistical learning python introductorylevel course supervised learning focus regression classification method syllabus includes linear polynomial regression logistic regression linear discriminant analysis crossvalidation bootstrap model selection regularization method ridge lasso nonlinear model spline generalized additive model treebased method random forest boosting supportvector machine neural network deep learning survival model multiple testing unsupervised learning method discussed principal component clustering kmeans hierarchical mathheavy class try describe method without heavy reliance formula complex mathematics focus consider important element modern data science computing course done python lecture devoted python giving tutorial ground progressing detailed session implement technique chatper also offer separate original version course called statistical learning r chapter lecture lab lecture computing done using r lecture cover material introduction statistical learning application python james witten hastie tibshirani taylor springer 2023 pdf book available free book website data analysis & statistics polynomial regression linear discriminant analysis bootstrap frontend framework data science statistical modeling random forest algorithm statistical learning theory python programming language unsupervised learning logistic regression lasso programming language deep learning kmeans clustering supervised learning support vector machine artificial neural network principal component analysis lecturing statistic boosting basic math
unlocking investment finance emerging market developing economy emdes,world bank group,achieve sustainable development goal sdgs 2030 estimated 45 trillion per year additional investment finance emdes need mobilized free online course assesses global effort innovation international investor multilateral development bank policymakers unlock massive investment opportunity emdes also tackling world pressing development challenge time,learn world leader expert investment finance emdes featured speaker include president multilateral development bank world leading asset manager investor consulting firm specialized investment finance emdes access latest information investment finance trend innovation result course provides access cuttingedge investment finance strategy resource diagnostic tool analysis statistic investment opportunity trend progress development finance goal collaborate thousand investment finance development policy expert around world course provides global platform collaborate problemsolve thousand investment finance policy development professional around world earn world bank group edx certificate upon successful completion course receive certificate completion add linkedin profile resume course designed investor seeking scale investment invest first time emdes seeking invest fund bond sustainable investment vehicle emdes learn develop roadmaps investment emdes use investment diagnostic tool derisking investment support product multilateral development bank invest sustainable investment bond fund vehicle adopt principle practice impact investment government official emdes seeking strengthen national financing strategy increase access development finance kind learn strengthen financing strategy national development improve country investment climate domestic market attract investor access international capital market identify sector private sector solution create expand market make substantial contribution development impact deepen understanding project finance structure investment consistent international standard international development professional seeking learn latest innovation investment finance aligned sdgs learn new development finance agenda initiative underway mobilize billion development finance attract catalyze trillion resource kind powerful innovative new financial instrument approach tested deployed scaled globally achieve sdgs result todate financing development agenda action needed accelerate progress financial sector actor seeking learn role catalyzing additional finance emdes learn action needed strengthen stability efficiency inclusiveness financial system service professional student welcome participate course,back popular demand join 49000 participant 198 country territory signed first two edition course delivered world bank group course assesses unlock investment finance kind international domestic public private including 100 trillion asset management institutional investor globally achieve sdgs 2030 progress date reviewed participant invited discus additional action needed accelerate investment finance emdes,available now,"economics & finance, social sciences",introductory,english,Course,,"desire-musharitse, julius-gwyer-2, demet-cabbar-2, ian-macdonald-2, sander-glas-2",,,6219,https://www.edx.org/learn/finance/world-bank-group-unlocking-investment-and-finance-in-emerging-markets-and-developing-economies-emdes,4.0,institutional investing investment sustainable development finance,unlocking investment finance emerging market developing economy emdes back popular demand join 49000 participant 198 country territory signed first two edition course delivered world bank group course assesses unlock investment finance kind international domestic public private including 100 trillion asset management institutional investor globally achieve sdgs 2030 progress date reviewed participant invited discus additional action needed accelerate investment finance emdes economics & financesocial sciences institutional investing investment sustainable development finance
psychology emotion introduction embodied cognition,university of cambridge,fascinating introduction cognitive psychology emotion explores see others emotion mind also body engaged recognition explore measure ability understand feeling others,key theory concept psychology social cognition emotion discus nature v nurture relationship mind brain role automatic v controlled process shaping human behavior study emotion emotional processing social cognition research method feel foundation theory embodied cognition understanding others emotion interpretation emotional signal develop critical approach literature research question field,psychology mind course introduces explores idea mind rooted body perhaps time move dichotomy course touch fundamental principle cognitive psychology specific focus emotional social embodied cognition theorizes many function human cognition even linked logic reasoning decision making aided entire body feeling sensation discover might shape ability understand others importance functional emotional processing every kind interaction others increased understanding improve decision making process knowledge cognitive neuroscience sitting alongside human factor introduces new concept include view mental health learner encouraged reflect crucial thoughtprovoking concept mindbody dualism reductionism course likely make learner selfaware express emotion well read interpret person emotion learner know complexity simplicity cognitive process take place whenever try recognize facial expression easily misinterpret others emotion course focus main theory embodiment hypothesis researcher investigate address learn main method material used explore emotional embodiment measure ability recognise people facial expression include main experimental design behavioural neuroimaging method adopted,available now,"biology & life sciences, communication, business & management",intermediate,english,Course,,giulia-mangiaracina,,,6122,https://www.edx.org/learn/behavioral-psychology/university-of-cambridge-the-psychology-of-emotions-an-introduction-to-embodied-cognition,5.0,cognitive psychology selfawareness cognitive neuroscience human factor neuroimaging decision making research psychology,psychology emotion introduction embodied cognition psychology mind course introduces explores idea mind rooted body perhaps time move dichotomy course touch fundamental principle cognitive psychology specific focus emotional social embodied cognition theorizes many function human cognition even linked logic reasoning decision making aided entire body feeling sensation discover might shape ability understand others importance functional emotional processing every kind interaction others increased understanding improve decision making process knowledge cognitive neuroscience sitting alongside human factor introduces new concept include view mental health learner encouraged reflect crucial thoughtprovoking concept mindbody dualism reductionism course likely make learner selfaware express emotion well read interpret person emotion learner know complexity simplicity cognitive process take place whenever try recognize facial expression easily misinterpret others emotion course focus main theory embodiment hypothesis researcher investigate address learn main method material used explore emotional embodiment measure ability recognise people facial expression include main experimental design behavioural neuroimaging method adopted biology & life sciencescommunicationbusiness & management cognitive psychology selfawareness cognitive neuroscience human factor neuroimaging decision making research psychology
cs50s computer science business professional,harvard university,cs50s introduction computer science business professional,computational thinking programming language internet technology web development technology stack cloud computing,cs50s introduction computer science business professional designed manager product manager founder decisionmakers generally whereas cs50 take bottomup approach emphasizing mastery lowlevel concept implementation detail thereof course take topdown approach emphasizing mastery highlevel concept design decision related thereto lecture computational thinking programming language internet technology web development technology stack cloud computing course empowers make technological decision even technologist youll emerge course firsthand appreciation work confident factor guide decisionmaking,available now,"computer science, business & management",introductory,english,Course,,david-j-malan,"arabic, english, spanish (latin america), indonesian, portuguese (brazil), german (germany), greek, french, italian (italy), korean, russian, thai, turkish (turkey), chinese (simplified)","portuguese - brazil, russian, thai, french, turkish, german, greek, korean, spanish, arabic, indonesian",5908,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-computer-science-for-business-professionals,6.0,internet protocol suite cloud computing web development computational thinking computer science,cs50s computer science business professional cs50s introduction computer science business professional designed manager product manager founder decisionmakers generally whereas cs50 take bottomup approach emphasizing mastery lowlevel concept implementation detail thereof course take topdown approach emphasizing mastery highlevel concept design decision related thereto lecture computational thinking programming language internet technology web development technology stack cloud computing course empowers make technological decision even technologist youll emerge course firsthand appreciation work confident factor guide decisionmaking computer sciencebusiness & management internet protocol suite cloud computing web development computational thinking computer science
preuniversity calculus,delft university of technology,prepare introductory calculus course reviewing function equation differentiation integration analytic geometry,understand visualize manipulate different elementary function like power function root polynomial trigonometric function exponential logarithmic function understand visualize solve equation inequality involving elementary function understand concept differentiation calculate derivative composition elementary function understand concept integration use elementary integration technique understand visualize manipulate geometric object plane vector line circle general curve,mathematics language science engineering technology calculus elementary mathematical course science engineering bachelor preuniversity calculus prepare introductory calculus course reviewing five important mathematical subject assumed mastered beginning bachelor student function equation differentiation integration analytic geometry course well prepared start university calculus course learn understand necessary definition mathematical concept needed trained apply solve mathematical problem feel confident using basic mathematical technique first calculus course universitylevel building highschool level mathematics aim teach skill also show mathematics used different engineering science discipline education method selfpaced course consisting 7 module week 1 final exam module consist collection 35 minute lecture video inspirational video use mathematics science engineering technology interactive exercise homework video practice exercise homework available free charge audit track idverified track necessary pursue certificate additionally access final exam course awarded 2016 open education award excellence category open mooc open education consortium,available now,math,introductory,english,Course,"professional certificate, professional certificate",,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)","arabic, turkish, indonesian, portuguese, portuguese - brazil, german, telugu, hindi, swahili, french, spanish",5903,https://www.edx.org/learn/calculus/delft-university-of-technology-pre-university-calculus,8.0,basic math analytic geometry calculus integration,preuniversity calculus mathematics language science engineering technology calculus elementary mathematical course science engineering bachelor preuniversity calculus prepare introductory calculus course reviewing five important mathematical subject assumed mastered beginning bachelor student function equation differentiation integration analytic geometry course well prepared start university calculus course learn understand necessary definition mathematical concept needed trained apply solve mathematical problem feel confident using basic mathematical technique first calculus course universitylevel building highschool level mathematics aim teach skill also show mathematics used different engineering science discipline education method selfpaced course consisting 7 module week 1 final exam module consist collection 35 minute lecture video inspirational video use mathematics science engineering technology interactive exercise homework video practice exercise homework available free charge audit track idverified track necessary pursue certificate additionally access final exam course awarded 2016 open education award excellence category open mooc open education consortium math basic math analytic geometry calculus integration
